0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,4,1,7,7,3,4,8,7,1,6,5,1,4,7,0,0,0.0022793384436507603,335337.8449606944,74600091.62942469,3.174823484975608e-05,787400000.0,1079.6265432389575
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3,4,0,1,9,5,4,7,0,2,2,6,5,1,7,0.18090444910278794,6583278.012898348,149929458.3950483,0.004150957662019861,485000000.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,4,1,1,0,0,4,5,7,5,2,4,6,0,1.3141709311010774,0.0,118682842.73140416,0.0,461900000.0,0.0
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,4,10,0,2,2,0,10,3,4,3,0,4,0,0,3,0.005498870603882679,130474962.8851133,49528357.006348066,0.012544094889628852,351800000.0,17062.631593760783
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7,5,4,4,4,6,10,7,3,2,7,5,0,1,5,0.008141511552840172,148083171.70462862,100529394.6763018,0.12938892352157436,321100000.0,0.0
1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,7,6,1,1,6,5,5,4,6,7,0,0,1.2426381678288114,0.0,83761852.78756303,0.0,1141600000.0,0.0
0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,7,2,6,10,3,2,9,4,2,0,2,4,0,4,0,0.0,54282485.66743992,51078298.950567864,0.04626845172582042,1251600000.0,0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2,0,1,0,4,2,8,1,3,1,6,3,2,3,0.6843954611032613,3498758.370860087,126600094.22498769,0.0019364865973919869,423600000.0,0.0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,4,2,1,5,9,3,5,4,6,0,10,1,2,0,9,0.014432028174303842,51597688.49612415,113613433.93367235,0.006232358523808897,236500000.0,6228.94751269168
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,5,6,6,2,2,9,7,7,5,4,5,3,0,2,4,0.01548676562879436,83349377.2971676,97069907.21475038,0.02218674007194944,321100000.0,6063.927767983838
0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,2,3,5,1,6,4,7,0,7,6,5,7,5,5,0,0,0.04987266091189658,0.0,81181669.69072722,0.0,1170600000.0,8359.3769070535
1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,3,5,0,0,10,9,6,4,8,1,4,5,5,4,0,0,4.0153857750866936e-05,1174910.0294279016,70710510.46649672,9.7123960009598e-05,1145100000.0,104.27417578590354
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,6,4,2,1,7,7,10,5,4,2,6,0,0,7,1,0.006105102129143935,26469840.336370673,96663054.62071538,0.002853370784863238,388400000.0,4063.136745009503
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,7,5,1,6,5,3,5,0,4,5,9,1,5,3,4,0.008464218486221385,23539.95905452392,158900365.74037224,1.8010453241969376e-06,327000000.0,1990.0332544947237
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,5,3,5,9,0,6,6,9,5,0,5,1,3,5,3,0.0023882264950199797,17110150.234726336,129175576.95684846,0.0009776515236980259,357700000.0,1669.031997450855
1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,3,6,7,6,1,2,6,9,4,10,7,6,5,7,0,0,0.006059786619775237,0.0,91510723.48051444,0.0,741100000.0,3197.443956986702
0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,7,3,1,4,2,5,8,1,10,7,3,1,6,2,4,0.010592395637968136,0.0,151483659.1100281,0.0,704300000.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,4,5,6,8,6,5,2,2,4,2,5,0.05240936267467275,6313297.546701612,138809633.33567864,0.0008393748332257403,84600000.0,14103.582236947737
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,6,0,4,2,0,5,3,4,4,0,5,0,0,3,0.006999099637309842,432445671.5833531,52707738.86713303,0.04385780873616413,230600000.0,30165.55263000514
1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,7,0,5,2,6,6,1,4,7,4,7,0,0,0.33460115546130303,44751.07695078837,84232359.73984496,2.528416360689831e-05,916200000.0,0.0
0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,10,7,1,4,4,1,10,6,7,3,2,7,0,6,0.37853097828251026,0.0,130362870.47418393,0.0,606200000.0,0.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,5,4,0,8,1,1,2,7,5,4,6,7,4,4,0,0.04566867794977002,3548508.8309166157,115604644.90134113,0.00030648707272256867,461900000.0,10277.903369654243
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,7,0,6,2,4,5,6,5,5,6,7,5,2,3,0.011855577380587727,4834237.322034892,154296147.72601575,0.00044627230099042947,199900000.0,2802.695041848541
0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,2,6,1,3,2,3,1,10,8,4,3,6,4,0,5,3,0.004229190893597956,33585466.252000704,108073926.54519358,0.0035647508450786704,388400000.0,3753.9110995024503
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,6,7,9,10,1,9,7,7,6,7,10,6,9,1,1,4.5275087394811205e-05,0.0,184361546.98518005,0.0,321100000.0,9.024509760686596
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,7,3,3,9,7,9,10,4,10,1,3,5,4,0.04186871712648167,12391534.152932746,157717478.2031542,0.009238618277300667,290400000.0,0.0
1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,7,2,7,5,1,8,6,1,5,2,6,2,3,2,2,0.020156610042345573,16691205.126016924,123864534.81659989,0.012740723203199142,577200000.0,0.0
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,6,5,5,6,7,2,1,5,10,3,6,2,3,1,6,0.04039312520548298,15433478.445089467,136406905.74267414,0.005040066324725837,267200000.0,1691.8448696590972
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,5,1,1,6,7,5,6,10,7,3,2,6,4,3,2,0.008359199965562154,4119310.0486225346,134437716.8062186,0.0009896971191482686,423600000.0,516.1880322164106
0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,5,6,5,2,4,7,1,5,1,7,4,1,7,0,6,0.20679726427396333,0.0,130821048.5741566,0.0,831600000.0,0.0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,2,7,7,0,9,4,1,4,0,4,0,0,0,0.05357803895316671,372164250.90000635,20785047.17797311,0.10596274864207479,492600000.0,11358.569418622987
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,6,5,4,5,7,5,5,9,6,5,2,3,0.006799244490260344,2388447.5065260744,160377949.37239233,0.00034646778505958254,84600000.0,1507.7257010234027
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,6,0,1,0,4,5,8,1,3,6,7,5,2,3,0.5741605771094792,2348368.254292529,149371766.62703085,0.0017074596282648908,151900000.0,0.0
