Gelderland Expected Annual Damage,Gelderland Dike Investment Costs,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
2858951415.634539,0,1.761818806298455,0.0,0,0.0,0.0,0.0
205023543.25069252,0,0.334159088959435,205080976.3236837,0,0.09619295320015188,0.0,0.0
1966036978.4215899,0,3.4499192269877037,0.0,0,0.0,0.0,0.0
1948297441.945931,0,1.1459898934419432,911597.6366514227,0,0.00035740806119161555,0.0,0.0
516660532.338989,0,1.017296243187311,30189615.505755734,0,0.02015675064077146,0.0,0.0
1322524919.2719357,0,1.2124089369348094,2406909.065077103,0,0.001256798082411546,0.0,0.0
3268476201.597168,0,1.8434708026549869,0.0,0,0.0,0.0,0.0
252872874.76474607,0,0.2941311600218234,641508918.3269134,0,0.6151201209652404,0.0,0.0
3374552236.3557596,0,2.0051573306608024,0.0,0,0.0,0.0,0.0
229724938.17052332,0,0.2544034554764891,141287775.57986873,0,0.06767630483634615,0.0,0.0
1372613672.6764722,0,1.156157132006615,90564772.86517051,0,0.10044922529710595,0.0,0.0
3074189320.267991,0,2.1411273849392547,0.0,0,0.0,0.0,0.0
2295048786.80546,0,1.993389714099037,0.0,0,0.0,0.0,0.0
3495850785.07004,0,1.8812967984952245,0.0,0,0.0,0.0,0.0
657920524.746338,0,0.40699463172276207,1205618265.9316592,0,0.9316742303835369,0.0,0.0
199615303.59244478,0,0.19242310573398042,0.0,0,0.0,0.0,0.0
485533462.60225356,0,0.6944387391260646,135406351.2992772,0,0.05616533644750718,0.0,0.0
187364659.6089712,0,0.16991552004345187,99544861.11175728,0,0.09941329088331008,0.0,0.0
3246967857.25029,0,1.9528181526403445,208566298.7050985,0,0.1585494819878508,0.0,0.0
2601489783.902531,0,1.802986513620413,0.0,0,0.0,0.0,0.0
1856948018.6188395,0,3.4227333795405577,809765.9124431175,0,0.0004025031668176165,0.0,0.0
